threshold_api18	FAIL		
threshold_api21	FAIL		
threshold_api22	FAIL		
threshold_api24	PASS	2b,3c,36,25,5	3b273362218b186a73e7349775b93f11e41c9a76d043c6ecb8e95630c0667b9303c5fd31ac192e854bb30f9f4d07b176954014b5000f425e1dbba4ccca277defc930b47cc34f8120028d0891ce4d4c0031226885d95c64aa948e5ed521b18d14955ce2ed3ccde07296f6c72910d1233ca839e9eb6de02d0b487296a5bbd72ce56e73e24879dc972faae2531e6e58f350fcf5c30753ea9ee72236b14f5fbf75041163b346c3fa3deb8a5b4101b44f1a14
threshold_api25	PASS	2b,3c,36,25,5	3b273362218b186a73e7349775b93f11e41c9a76d043c6ecb8e95630c0667b9303c5fd31ac192e854bb30f9f4d07b176954014b5000f425e1dbba4ccca277defc930b47cc34f8120028d0891ce4d4c0031226885d95c64aa948e5ed521b18d14955ce2ed3ccde07296f6c72910d1233ca839e9eb6de02d0b487296a5bbd72ce56e73e24879dc972faae2531e6e58f350fcf5c30753ea9ee72236b14f5fbf75041163b346c3fa3deb8a5b4101b44f1a14
threshold_api30	PASS	2b,3c,36,25,5	3b273362218b186a73e7349775b93f11e41c9a76d043c6ecb8e95630c0667b9303c5fd31ac192e854bb30f9f4d07b176954014b5000f425e1dbba4ccca277defc930b47cc34f8120028d0891ce4d4c0031226885d95c64aa948e5ed521b18d14955ce2ed3ccde07296f6c72910d1233ca839e9eb6de02d0b487296a5bbd72ce56e73e24879dc972faae2531e6e58f350fcf5c30753ea9ee72236b14f5fbf75041163b346c3fa3deb8a5b4101b44f1a14
threshold_api35	PASS	2b,3c,36,25,5	3b273362218b186a73e7349775b93f11e41c9a76d043c6ecb8e95630c0667b9303c5fd31ac192e854bb30f9f4d07b176954014b5000f425e1dbba4ccca277defc930b47cc34f8120028d0891ce4d4c0031226885d95c64aa948e5ed521b18d14955ce2ed3ccde07296f6c72910d1233ca839e9eb6de02d0b487296a5bbd72ce56e73e24879dc972faae2531e6e58f350fcf5c30753ea9ee72236b14f5fbf75041163b346c3fa3deb8a5b4101b44f1a14
field_dataDir	PASS	2b,36,25,5	3b273362218b186a73e7349775b93f1151da6894512660bd1e9809e7c17c3898a2d0c5508f89e6c3022e6c8f7b442797abef7d1d32d8a04d887d2d1bf24b19b1f9ab2e878f79e9e4403f2fbb71ee5609443039c0ce6fc355892096d63e697e9ca2794cf0628c4403e0d6e9e452c356cbf881e5aebd431e2b583b6d923875d3eb9b3b2de520ab291ca72a1f1cd661d6af510d952d14921db3ae61537b5fccc21e45554bf72a6d107816fbbf28ebd8f6f7
field_nativeLibraryDir	PASS	2b,36,25,5	3b273362218b186a73e7349775b93f1151da6894512660bd1e9809e7c17c3898a2d0c5508f89e6c3022e6c8f7b442797abef7d1d32d8a04d887d2d1bf24b19b1f9ab2e878f79e9e4403f2fbb71ee5609443039c0ce6fc355892096d63e697e9ca2794cf0628c4403e0d6e9e452c356cbf881e5aebd431e2b583b6d923875d3eb9b3b2de520ab291ca72a1f1cd661d6af510d952d14921db3ae61537b5fccc21e45554bf72a6d107816fbbf28ebd8f6f7
field_publicSourceDir	PASS	2b,29,38,36,25,5	3b273362218b186a73e7349775b93f11a38d99edb05bf835c165a660ae00bcd74f5323213cb548109b658dd238fbe6b11d679071cb90997973a03f0f06392f8b5591fbb8afb187e916c1bc66f66deb7536239fa60b8743133c6c3d3bda8ce3209cfe621d23b2ae72a7e93623ff228f8a9456586383c284d90db14f7496a5748eb83c14175bb2fbab788ccf19b1dda36db2e7b19c58fc635a9c674ca9440d4b70c906e11eae508351391d55d3f9c674ee
field_source_public	PASS	2b,29,36,25,5	3b273362218b186a73e7349775b93f11e5e2f375fed921c88bcb1142b618553fe3ab3167f76bf1fcd95c1072a36f46b498bed6148e1e0b7065a85eb6b944af24e614fde79a24708fed914fe294a7f6eb34f73cbb2186a99f24316d83ffd97746309e00465bea92aace54cd90037148438e049a7b8f99d0b4d78861204c6ea8d120253e4d918d4f07a10da3e31accc9b071dd26581a60592c5368616fb3b0e067072fcb041e6a5bec11e1e2568fb51518
field_sourceDir	PASS	2b,36,25,5	3b273362218b186a73e7349775b93f1151da6894512660bd1e9809e7c17c3898a2d0c5508f89e6c3022e6c8f7b442797abef7d1d32d8a04d887d2d1bf24b19b1f9ab2e878f79e9e4403f2fbb71ee5609443039c0ce6fc355892096d63e697e9ca2794cf0628c4403e0d6e9e452c356cbf881e5aebd431e2b583b6d923875d3eb9b3b2de520ab291ca72a1f1cd661d6af510d952d14921db3ae61537b5fccc21e45554bf72a6d107816fbbf28ebd8f6f7
package_only_maps_changed	PASS	2b,9,29,36,25,5	3b273362218b186a73e7349775b93f11a1853cff5cc2f5d6d5702d17845d55dff37f8adbfd02a6525bf98d8e81b4da4ec3ed3f7c5c130837b63c6e7913c332a7f354feba681c117f51ec0eccc3db07d62d4d7c7a02bcfe50e35da88558ae6ce5a75cbd089e0bf571eb704d40d43ab2ccb1e770294549ad7b20707eead1ce250e53680570fc3a6dcc74faf0d9320f900a1586565616e06b5dee86a48bb0d14b744a557a8dc76c4fb0bff38fb3c463229e
paths_with_new_map	PASS	2b,29,36,25,5	3b273362218b186a73e7349775b93f11e5e2f375fed921c88bcb1142b618553fe3ab3167f76bf1fcd95c1072a36f46b498bed6148e1e0b7065a85eb6b944af24e614fde79a24708fed914fe294a7f6eb34f73cbb2186a99f24316d83ffd97746309e00465bea92aace54cd90037148438e049a7b8f99d0b4d78861204c6ea8d120253e4d918d4f07a10da3e31accc9b071dd26581a60592c5368616fb3b0e067072fcb041e6a5bec11e1e2568fb51518
