
adjust-android-signature-3.67.0/jni/arm64-v8a/libsigner.so:	file format elf64-littleaarch64

Disassembly of section .text:

0000000000008070 <.text>:
   23730: d10403ff     	sub	sp, sp, #0x100
   23734: a90a7bfd     	stp	x29, x30, [sp, #0xa0]
   23738: a90b6ffc     	stp	x28, x27, [sp, #0xb0]
   2373c: a90c67fa     	stp	x26, x25, [sp, #0xc0]
   23740: a90d5ff8     	stp	x24, x23, [sp, #0xd0]
   23744: a90e57f6     	stp	x22, x21, [sp, #0xe0]
   23748: a90f4ff4     	stp	x20, x19, [sp, #0xf0]
   2374c: 910283fd     	add	x29, sp, #0xa0
   23750: aa0103f3     	mov	x19, x1
   23754: d282e5d1     	mov	x17, #0x172e            // =5934
   23758: d29b4661     	mov	x1, #0xda33             // =55859
   2375c: f2a170f1     	movk	x17, #0xb87, lsl #16
   23760: f2b5af21     	movk	x1, #0xad79, lsl #16
   23764: d292a048     	mov	x8, #0x9502             // =38146
   23768: d29c6ea4     	mov	x4, #0xe375             // =58229
   2376c: f2cd9e31     	movk	x17, #0x6cf1, lsl #32
   23770: f2d9e9e1     	movk	x1, #0xcf4f, lsl #32
   23774: f2afea48     	movk	x8, #0x7f52, lsl #16
   23778: f2b069a4     	movk	x4, #0x834d, lsl #16
   2377c: 7100005f     	cmp	w2, #0x0
   23780: f2e15031     	movk	x17, #0xa81, lsl #48
   23784: f2f3bc01     	movk	x1, #0x9de0, lsl #48
   23788: f2dcb7a8     	movk	x8, #0xe5bd, lsl #32
   2378c: f2dede44     	movk	x4, #0xf6f2, lsl #32
   23790: 9a910023     	csel	x3, x1, x17, eq
   23794: 7100045f     	cmp	w2, #0x1
   23798: f2ee2108     	movk	x8, #0x7108, lsl #48
   2379c: f2f03224     	movk	x4, #0x8191, lsl #48
   237a0: d291edc6     	mov	x6, #0x8f6e             // =36718
   237a4: d2869d47     	mov	x7, #0x34ea             // =13546
   237a8: 9a88b085     	csel	x5, x4, x8, lt
   237ac: f2b67886     	movk	x6, #0xb3c4, lsl #16
   237b0: f2bee2c7     	movk	x7, #0xf716, lsl #16
   237b4: d2841b89     	mov	x9, #0x20dc             // =8412
   237b8: d29a2c48     	mov	x8, #0xd162             // =53602
   237bc: f2df91a6     	movk	x6, #0xfc8d, lsl #32
   237c0: f2de1a27     	movk	x7, #0xf0d1, lsl #32
   237c4: f2a2c7a9     	movk	x9, #0x163d, lsl #16
   237c8: f2bafd68     	movk	x8, #0xd7eb, lsl #16
   237cc: 71000c5f     	cmp	w2, #0x3
   237d0: f2f5caa6     	movk	x6, #0xae55, lsl #48
   237d4: f2ff21c7     	movk	x7, #0xf90e, lsl #48
   237d8: f2de1969     	movk	x9, #0xf0cb, lsl #32
   237dc: f2ce31a8     	movk	x8, #0x718d, lsl #32
   237e0: 9a86b0fb     	csel	x27, x7, x6, lt
   237e4: 7100085f     	cmp	w2, #0x2
   237e8: f2e54da9     	movk	x9, #0x2a6d, lsl #48
   237ec: f2f13888     	movk	x8, #0x89c4, lsl #48
   237f0: 9a89b108     	csel	x8, x8, x9, lt
   237f4: d2884049     	mov	x9, #0x4202             // =16898
   237f8: f2b9f949     	movk	x9, #0xcfca, lsl #16
   237fc: 7100145f     	cmp	w2, #0x5
   23800: f2ca3729     	movk	x9, #0x51b9, lsl #32
   23804: d289c04f     	mov	x15, #0x4e02            // =19970
   23808: f81e03a8     	stur	x8, [x29, #-0x20]
   2380c: d28d70a8     	mov	x8, #0x6b85             // =27525
   23810: f2a61008     	movk	x8, #0x3080, lsl #16
   23814: f2e66749     	movk	x9, #0x333a, lsl #48
   23818: f2c8ac88     	movk	x8, #0x4564, lsl #32
   2381c: f2b9f14f     	movk	x15, #0xcf8a, lsl #16
   23820: f2f201e8     	movk	x8, #0x900f, lsl #48
   23824: f2c194af     	movk	x15, #0xca5, lsl #32
   23828: 9a88b128     	csel	x8, x9, x8, lt
   2382c: d2977029     	mov	x9, #0xbb81             // =48001
   23830: f2ba5b29     	movk	x9, #0xd2d9, lsl #16
   23834: 71001c5f     	cmp	w2, #0x7
   23838: f2d0fc29     	movk	x9, #0x87e1, lsl #32
   2383c: aa0003f4     	mov	x20, x0
   23840: f81c83a8     	stur	x8, [x29, #-0x38]
   23844: d281e2a8     	mov	x8, #0xf15              // =3861
   23848: f2a9b8a8     	movk	x8, #0x4dc5, lsl #16
   2384c: f2e0a9a9     	movk	x9, #0x54d, lsl #48
   23850: f2cbf2a8     	movk	x8, #0x5f95, lsl #32
   23854: 2a1f03f0     	mov	w16, wzr
   23858: f2ed4a08     	movk	x8, #0x6a50, lsl #48
   2385c: f2f1aecf     	movk	x15, #0x8d76, lsl #48
   23860: 9a88b128     	csel	x8, x9, x8, lt
   23864: d28839e9     	mov	x9, #0x41cf             // =16847
   23868: f2a99009     	movk	x9, #0x4c80, lsl #16
   2386c: 7100185f     	cmp	w2, #0x6
   23870: f2df2649     	movk	x9, #0xf932, lsl #32
   23874: b90047ff     	str	wzr, [sp, #0x44]
   23878: f81f83a8     	stur	x8, [x29, #-0x8]
   2387c: d287e308     	mov	x8, #0x3f18             // =16152
   23880: f2b78a48     	movk	x8, #0xbc52, lsl #16
   23884: f2e24fc9     	movk	x9, #0x127e, lsl #48
   23888: f2cddf08     	movk	x8, #0x6ef8, lsl #32
   2388c: f9001bff     	str	xzr, [sp, #0x30]
   23890: f2f0f848     	movk	x8, #0x87c2, lsl #48
   23894: a93b8fa5     	stp	x5, x3, [x29, #-0x48]
   23898: 9a88b128     	csel	x8, x9, x8, lt
   2389c: d288aa69     	mov	x9, #0x4553             // =17747
   238a0: f2a46249     	movk	x9, #0x2312, lsl #16
   238a4: 7100105f     	cmp	w2, #0x4
   238a8: f2dafe49     	movk	x9, #0xd7f2, lsl #32
   238ac: f9002bfb     	str	x27, [sp, #0x50]
   238b0: f81e83a8     	stur	x8, [x29, #-0x18]
   238b4: d28a26a8     	mov	x8, #0x5135             // =20789
   238b8: f2ae1d68     	movk	x8, #0x70eb, lsl #16
   238bc: f2fdce89     	movk	x9, #0xee74, lsl #48
   238c0: f2cbec88     	movk	x8, #0x5f64, lsl #32
   238c4: f2fa60a8     	movk	x8, #0xd305, lsl #48
   238c8: 9a88b12a     	csel	x10, x9, x8, lt
   238cc: d29ead08     	mov	x8, #0xf568             // =62824
   238d0: d2903809     	mov	x9, #0x81c0             // =33216
   238d4: f2b20c28     	movk	x8, #0x9061, lsl #16
   238d8: f2bd5e09     	movk	x9, #0xeaf0, lsl #16
   238dc: f2c887e8     	movk	x8, #0x443f, lsl #32
   238e0: f2db8529     	movk	x9, #0xdc29, lsl #32
   238e4: 7100205f     	cmp	w2, #0x8
